Entity,Date,confirmedcases,Death,recovered,Deathrate,RecoveryRate
Armenia,08-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,09-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,10-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,11-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,12-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,13-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,14-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,15-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,16-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,17-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,18-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,19-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,20-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,21-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,22-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,23-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,24-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,25-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,26-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,27-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,28-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,29-Feb-20,0,0,0,#DIV/0!,#DIV/0!
Armenia,01-Mar-20,1,0,0,0,0
Armenia,02-Mar-20,1,0,0,0,0
Armenia,12-Mar-20,4,0,0,0,0
Armenia,13-Mar-20,6,0,0,0,0
Armenia,14-Mar-20,13,0,0,0,0
Armenia,15-Mar-20,20,0,0,0,0
Armenia,16-Mar-20,30,0,0,0,0
Armenia,17-Mar-20,52,0,0,0,0
Armenia,18-Mar-20,78,0,0,0,0
Armenia,19-Mar-20,115,0,0,0,0
Armenia,20-Mar-20,122,0,0,0,0
Armenia,21-Mar-20,136,0,0,0,0
Armenia,22-Mar-20,160,0,0,0,0
Armenia,23-Mar-20,190,1,0,0.526315789,0
Armenia,24-Mar-20,194,1,0,0.515463918,0
Armenia,25-Mar-20,265,1,0,0.377358491,0
Armenia,26-Mar-20,290,3,1,1.034482759,0.344827586
Armenia,27-Mar-20,329,3,1,0.911854103,0.303951368
Armenia,28-Mar-20,372,3,1,0.806451613,0.268817204
Armenia,29-Mar-20,424,4,1,0.943396226,0.235849057
Armenia,30-Mar-20,424,7,1,1.650943396,0.235849057
Armenia,31-Mar-20,482,7,2,1.452282158,0.414937759
Armenia,01-Apr-20,532,7,2,1.315789474,0.37593985
Armenia,02-Apr-20,571,7,14,1.22591944,2.451838879
Armenia,03-Apr-20,663,8,16,1.206636501,2.413273002
Armenia,04-Apr-20,736,8,43,1.086956522,5.842391304
Armenia,05-Apr-20,770,9,57,1.168831169,7.402597403
Armenia,06-Apr-20,822,10,62,1.216545012,7.542579075
Armenia,07-Apr-20,833,12,87,1.44057623,10.44417767
Armenia,08-Apr-20,853,13,114,1.524032825,13.36459555
Armenia,09-Apr-20,881,13,138,1.475595914,15.66401816
Armenia,10-Apr-20,921,14,149,1.520086862,16.17806732
Armenia,11-Apr-20,937,16,173,1.707577375,18.46318036
Armenia,12-Apr-20,967,17,197,1.758014478,20.37228542
Armenia,13-Apr-20,1013,18,211,1.776900296,20.82922014
Armenia,14-Apr-20,1039,19,265,1.828681424,25.50529355
Armenia,15-Apr-20,1111,20,297,1.800180018,26.73267327
Armenia,16-Apr-20,1159,20,358,1.725625539,30.88869715
Armenia,17-Apr-20,1201,22,402,1.831806828,33.47210658
Australia,22-Jan-20,0,0,0,#DIV/0!,#DIV/0!
